Sentence,Sentiment_Num,,,,
"LG화학, 중국서 필러 와이솔루션 포럼 개최",1,,,,
"LG화학-한양대, 배터리 장학생 육성·공동기술 개발 ‘맞손’",2,,,,
"“목표가 100만원 나왔다”…LG화학, 4%대 강세",2,,,,
"물류센터에서 버려지는 포장용 랩 재활용…LG화학, CJ대한통운과 업무협약",2,,,,
"""수요 회복한 중국 미용시장 공략"" LG화학, 학술포럼 열어",1,,,,
 ‘IRA 수혜’ LG화학 7.47% 상승…52주 신고가 마감,2,,,,
"LG화학, 이틀 째 강세…52주 신고가 경신",2,,,,
"LG화학, CJ대한통운과 플라스틱 포장용 랩 재활용 협력… “폐기 자원 순환경제 구축 박차”",2,,,,
"LG화학, 1Q 양극재 OPM 8.9% 추정…목표가증가-메리츠",2,,,,
" LG화학, 52주 신고가 경신...IRA 기대감",2,,,,
"LG화학, 중국서 필러 브랜드 '와이솔루션' 포럼 개최",1,,,,
" 김태기 중노위원장, LG화학·협력업체 노사 대표들과 간담회",1,,,,
"삼양홀딩스-LG화학, mRNA 항암신약 파트너십",1,,,,
"""ESG가 미래다"" 재활용 사업 늘리는 LG화학·롯데케미칼",2,,,,
숨가쁘게 돌아가는 LG화학 진단 매각시계 '중간점검' ,1,,,,
LG화학 대산공장 노사 '사랑의 릴레이' 헌혈 캠페인,1,,,,
"LG화학, LG엔솔 업고 쭉쭉 오르네…52주 신고가",2,,,,
"LG화학, 중국  화유코발트와 새만금에 1조 원대 합작 투자",1,,,,
"""LG화학 목표주가 100만원‥18%증가""",2,,,,
"여수 LG화학 사내하청 노동자들 ""비정규직 철폐"" 결의",1,,,,
"LG화학, 중국서 아시아 대표 필러 브랜드 '와이솔루션' 포럼 개최",1,,,,
중국 전시회에 모인 한국 롯데·LG·SK 화학기업…왜?,1,,,,
"LG화학-CJ대한통운, 물류센터 포장용 랩 재활용 협력",2,,,,
"CJ대한통운-LG화학, 스트레치 필름 재활용 ‘맞손’",2,,,,
"LG화학, 새만금에 1조2000억원 들여 배터리 소재 공장",1,,,,
2차전지 양극재' 덕에 옛 영광 눈앞?…LG화학 목표주가 100만원 속속 돌파 ,2,,,,
"LG화학-CJ대한통운, 포장용 랩 재활용 '맞손'",2,,,,
"CJ대한통운, '스트레치 필름' 재활용…LG화학과 '자원선순환' 추진",2,,,,
"올해 새만금에 3조 몰려…LG화학, 1.2조 투척",1,,,,
"LG화학, 동박 사업 검토…SK넥실리스 의존도 낮추나 ",1,,,,
"LG화학, 미국 지보와 바이오 프로필렌 사업 확대",2,,,,
"CJ대한통운-LG화학, 스트레치 필름 재활용 위해 '맞손'",2,,,,
"고성장 바이오플라스틱 시장 잡는다…LG화학, 미국  업체와 맞손",2,,,,
" LG화학, 이틀 연속 52주 신고가 경신",2,,,,
"LG화학, CJ대한통운 포장용 랩 재활용 추진…“플라스틱 순환경제 구축”",2,,,,
"“미국 , 삼성전자·SK하이닉스 중국  장비 반입 1년 추가 연장할 듯”",2,,,,
SK하이닉스 등 청주 기업 통근버스 55대 수소차로 교체,1,,,,
"FT “미국 , 삼성·SK하이닉스 중국  내 장비 반입 1년 연장”",2,,,,
SK하이닉스 수소 통근버스 도입,1,,,,
“연차 80% 이상 쓰면 혜택 준다”… SK하이닉스의 위기 탈출법,0,,,,
" SK하이닉스의 비상경영…""연차 소진시 인센티브""",0,,,,
"SK하이닉스 ""100m 육상 10초 깨듯 기술 한계 돌파""",2,,,,
"SK하이닉스, 일본 서 차세대 ‘나노임프린트’ 장비 도입… “3D 낸드 고도화”",2,,,,
 SK하이닉스 하청 노동자 통근버스 충돌 사망…안전 의무 위반?,0,,,,
"""장기휴가 가세요""...'적자' LGD·SK하이닉스 연차소진 독려",0,,,,
"삼성전자·SK하이닉스 '희소식'…""중국 에 장비 반입 1년 연장""",2,,,,
"현대차가 끌고 SK·환경부가 민다···삼성전자·SK하이닉스, 수소통근버스 도입 추진",1,,,,
"SK하이닉스, 연차 소진-장기 휴가 권장",0,,,,
대중 수출규제 유예 연장설…삼성전자·SK하이닉스 한숨 돌리나,2,,,,
"SK하이닉스, 임직원 휴가 권장…반도체 한파 속 생존 전략 꾸리는 업계",0,,,,
“HBM으로 불황 뛰어넘자”…삼성전자·SK하이닉스 속도전,2,,,,
SK하이닉스 1분기 적자 3조4000억...주가는 3%대 상승,2,,,,
"SK하이닉스, 1분기 3.4조 영업손실…2분기 연속 적자",0,,,,
"SK하이닉스 3조4천억 적자 …""2분기가 바닥""",0,,,,
 삼성과 SK하이닉스는 누가 지키나,0,,,,
"SK하이닉스, 1분기 실적 발표…전자업계, 줄줄이 실적 '빨간불'",0,,,,
"SK하이닉스, 화학물질관리 노하우 전수…""안전사업장 구축 지원""",1,,,,
"""중국 내 반도체 장비 수출 규제 유예 가능성""...삼성전자·SK하이닉스 숨 돌리나",2,,,,
 '메모리 한파'에 SK하이닉스 1분기 영업손실 3조4천억원,0,,,,
"SK하이닉스 ""중국  장비 수출 통제 유예 전망 긍정적""",2,,,,
사상 최대 적자' SK하이닉스‥삼성전자 발표 임박 '먹구름',0,,,,
"SK하이닉스 ""감산 영향 2분기 본격화…재고 점진 축소 전망""",0,,,,
"SK하이닉스 ""올해 D램 한 자릿수·낸드 10% 중후반 성장""",1,,,,
" SK하이닉스 1분기 영업손실 3조4,023억원...적자 전환",0,,,,
메모리 한파' SK하이닉스 1분기 3.4조 원 적자,0,,,,
"적자전환 SK하이닉스 ""하반기엔 개선""",0,,,,
SK하이닉스 3.4조 최악 영업손실… 업황 반등 기대에 주가 2.2% 쑥,1,,,,
" '어닝쇼크' SK하이닉스, 1분기 영업손실 3.4조…적자전환",0,,,,
"3.4조 적자 낸 SK하이닉스, 하반기엔 반등한다",0,,,,
"“SK하이닉스, 기술 혁신으로 2050년 넷제로 달성”",2,,,,
"SK하이닉스 영업손 3.4조… ""보수적 생산 유지""",0,,,,
"반도체 쇼크' SK하이닉스, 2개 분기 적자만 5조…사상최악 성적",0,,,,
"""미국 , 마이크론 중국 판매 금지시 삼성·SK하이닉스 물량 대체 마라""-FT",0,,,,
SK하이닉스가 HBM에 진심인 이유 2 ,1,,,,
"‘반도체 쇼크’ SK하이닉스, 적자만 5조…사상최악",0,,,,
반도체의 봄은 언제 오나...SK하이닉스 1분기에 사상 최대 적자 냈다,0,,,,
" 동트기 전이 가장 어둡다… SK하이닉스, 실적 반등 기대",1,,,,
"S&P ""SK하이닉스, 1분기 실적 부진에 신용등급 유지여력 감소""",0,,,,
SK하이닉스 1분기 영업손실 3조4천23억원…적자 전환,0,,,,
"SK하이닉스 ""솔리다임 조직 간소화 등으로 비용 관리 강화""",2,,,,
"증권가 ""SK하이닉스 하반기 실적개선…2분기부터 주가상승 기대""",2,,,,
"SK하이닉스, '12단 적층' HBM3 메모리 세계 최초 개발",2,,,,
SK하이닉스 1분기 영업손실 3조 4023억 원…2분기 연속 적자,0,,,,
"SK하이닉스, 1분기 영업손실 3조4023억 원…사상 최대 적자",0,,,,
메모리 한파'에 SK하이닉스 1분기 영업손실 3조4천23억원,0,,,,
"삼성·SK하이닉스, 미 로비자금 역대 최대...반도체법 영향",0,,,,
"“실적 바닥 확인했나”...SK하이닉스, 3조원 적자에도 주가 강세",2,,,,
SK하이닉스 창사 후 '최대 적자'…불황 끝은 어디?,0,,,,
" SK하이닉스 ""메모리 재고 역대급 심각…3Q부터 시황 개선""",0,,,,
"""삼성전자·SK하이닉스 등 실적 부진에도 올 하반기 반도체주 상향할 것” 전망",2,,,,
" 청주시·SK하이닉스, 1사 1하천 사랑 협약",1,,,,
"3.4조 적자' SK하이닉스, 실적 바닥 인식에 3%대 강세",2,,,,
"“SK하이닉스보다 나빴다”…삼성전자, 한발 늦은 감산에 적자 1조원 더 키워",0,,,,
"어닝쇼크' SK하이닉스, 예상보다 양호…증권가 ""실적 저점이 기회""",2,,,,
"SK하이닉스, 세계 최초 12단 적층 ‘HBM3′ 개발…올해 상반기 양산",2,,,,
SK하이닉스 역대급 적자…오늘 삼성전자 반도체 실적은?,0,,,,
"SK하이닉스, 1분기 3조4023억 적자...2분기는 감산효과 주목",2,,,,
 SK하이닉스 1분기 영업손실 3조4천23억원…적자 전환,0,,,,
SK하이닉스 1분기 영엽손실 3조4023억원,0,,,,
창사 후 최대 위기 맞은 삼전·SK하이닉스...증권가 “상반기 바닥 짚을 것,0,,,,
"하이닉스 ""재고 정점 찍어, 하반기 실적개선""",0,,,,
"삼성 반도체, SK하이닉스보다 적자증가…""감산 동참·고부가 집중""",0,,,,
 SK하이닉스 1분기 영업손실 3조4023억원,0,,,,
"용인 반도체클러스터 산단, SK하이닉스 외 어떤 기업 입주하나",1,,,,
"서원대-SK하이닉스, 사회적기업가 챌린지 대회 개최",1,,,,
 SK하이닉스 실적 추이,1,,,,
현대차만 미국서 '씽씽'…삼성전자·SK하이닉스·LG전자는 고전,0,,,,
불황 터널' 들어선 SK하이닉스…5조 차입금으로 견뎠다 ,0,,,,
" SK하이닉스 ""미국 , 중국  장비 수출 통제 유예 긍정적""",2,,,,
"케이던스 디자인 시스템즈, 'SK하이닉스' LPDDR5T 모바일용 D램과 상호운용성 검증 발표",2,,,,
"SK하이닉스 ""감산으로 고객사 문의 증가…2분기 출하량 증가""",1,,,,
"SK하이닉스 ""감산에도 불구 판매량 크게 떨어지며 1분기 재고 고점""",0,,,,
SK하이닉스 '어닝 쇼크' 1분기 실적 역대 최악,0,,,,
" SK하이닉스 ""미국 의 중국  장비 수출 통제 유예 가능성 긍정적""",2,,,,
삼성전자·SK하이닉스 반도체 적자만 8조원 육박…바닥 지나고 있나,0,,,,
 '사상 최악' 성적표 거머쥔 SK하이닉스…실적 발표 앞둔 삼성도 '한숨',0,,,,
"김영식 SK하이닉스 탄소관리위원장 ""기술 혁신 통해 넷제로 경쟁력 강화""",2,,,,
"SK하이닉스, '최악 성적표' 3.4조 적자…""2분기 실적 개선"" ",0,,,,
"SK하이닉스, 1분기 영업손실 3조4023억…매출액은 5조881억원",0,,,,
"SK하이닉스, 1분기 영업손실 3조4023억원…“바닥 찍고 2분기 반등”",0,,,,
" SK하이닉스 1분기 3조4023억 적자... ""2분기 반등 전망""",0,,,,
"SK하이닉스, 1Q '사상 최대' 3.4조 적자…""2Q 실적반등 기대""",0,,,,
SK하이닉스 1분기 영업손실 3조 4천억 원…창사 이래 최악,0,,,,
"재고 늪' 빠진 SK하이닉스 ""감산 효과 2분기부터""",0,,,,
SK하이닉스 적자 전환,0,,,,
SK하이닉스 적자 전환,0,,,,
메모리 한파' SK하이닉스 1분기 영업손실 3.4조 원,0,,,,
"SK하이닉스, ‘넷제로’ 가속화…김영식 부사장 “구성원・협력사 핵심동력”",1,,,,
" SK하이닉스, 1분기 영업손실 3.4조... 2분기 연속 적자",0,,,,
" SK하이닉스, 1Q 3.4조 적자···""바닥 찍고 2Q부터 회복""",0,,,,
" ‘매서운 반도체 한파’ SK하이닉스, 1분기 영업손실 3조4023억원",0,,,,
"SK하이닉스, 1분기 영업손실 3.4조…""2분기 매출 확대 전망""",0,,,,
"SK하이닉스, 중기에 화학물질관리 노하우 공유",1,,,,
"SK하이닉스 1분기 적자 3조4,023억원",0,,,,
"SK하이닉스, 하반기 터널 끝 보인다",1,,,,
"반도체 쇼크' SK하이닉스, 1분기 영업손실 3.4조",0,,,,
"SK하이닉스 1분기 영업손실 3조4,023억원…적자 전환",0,,,,
"""재고 감소·고용량 메모리 효과 기대""…SK하이닉스, 2분기 매출 반등 예고",2,,,,
"SK하이닉스, 1분기 영업손실 3.4조..사상 최대 적자",0,,,,
"""화학물질 관리 노하우 알려드려요"" SK하이닉스, 중국 企 지원",1,,,,
"SK하이닉스, 올해 1분기 3조4,023억원 영업손실",0,,,,
반도체 적자' 먹구름…삼성전자·SK하이닉스 '추가 감산설' 솔솔,0,,,,
"SK하이닉스, '반도체 한파'에 1Q 3조4023억 적자…""수요 부진·가격 하락""",0,,,,
"""메모리 다운턴 지속""···SK하이닉스, 1분기 3.4조 적자",0,,,,
" SK하이닉스, 1분기 3조4023억원 적자... 주가는 상승세",0,,,,
"‘바닥’ 통과한 SK하이닉스, 3.4조원 적자에도 ‘희망’ 봤다…“하반기에 반등”",0,,,,
SK하이닉스 1분기 영업손실 3조4천억원…적자 전환,0,,,,
"SK하이닉스, 중국 企에 화학물질관리 노하우 전수…""안전한 사업장 구축""",1,,,,
"SK하이닉스, 3.4조 적자로 사상 최악 성적…""하반기 개선 기대""",0,,,,
SK하이닉스 누적 적자 5兆 최악... '감산·HBM효과' 2분기 반등 기대,0,,,,
"SK하이닉스 2분기 연속 적자, 하반기 반전 노린다",0,,,,
"사상 최대 적자' SK하이닉스 1분기 영업손실 3조4,023억원",0,,,,
"""미국 , 마이크론 중국 서 빈자리 삼성·SK하이닉스가 채우지 말길""",0,,,,
"메모리 한파'에 SK하이닉스 1분기 3조4,023억원 영업손실",0,,,,
"SK하이닉스, 오늘 1분기 실적발표… '3조원대' 손실 전망",0,,,,
SK하이닉스 1분기 3조4000억 영업손실,0,,,,
SK하이닉스 1분기 영업손실 3조4천23억원…적자 전환,0,,,,
SK하이닉스 영업손실 3.4조…사상 최대 적자,0,,,,
SK하이닉스 1분기 영업손실 3조4천23억원…적자 전환,0,,,,
"크게 망해서 더 좋다…‘2개 분기 5조 적자’ SK하이닉스 주가 강세, 왜? ",2,,,,
SK하이닉스 1분기 영업손실 3조4천23억원…적자 전환,0,,,,
"SK하이닉스, 1분기 적자 3.4조…""하반기 업황 개선""",0,,,,
"3.4조 적자 낸 SK하이닉스, 재고자산 17조원…“당분간 보수적 생산 기조 유지”",0,,,,
"""2분기부터 감산 효과 나올 것"" 사상 최악 성적표에도 희망 던진 SK하이닉스",0,,,,
"SK하이닉스,1분기 3조 4,023억원 적자... 2개 분기 5조 적자, 사상최악 성적",0,,,,
"반도체 쇼크' SK하이닉스, 2개 분기 적자만 5조",0,,,,
허리띠 졸라맨 SK하이닉스 연차 소진하면 포인트 준다,0,,,,
SK하이닉스 1분기 3조4000억 적자,0,,,,
"SK하이닉스, 1분기 적자 3.4조…""2분기부터 매출 반등""",0,,,,
"SK하이닉스, 2분기 연속 적자…하반기 터널 끝 전망",0,,,,
"사상 최대 적자' SK하이닉스, 1분기 영업손실 3조4023억원",0,,,,
"SK하이닉스, 1분기 영업손실 3.4조…사상 최대 적자",0,,,,
"SK하이닉스, 반년 만에 적자 5조 원…""메모리 저점 지나는 중이라 판단""",0,,,,
"SK하이닉스 ""감산 효과 2분기 본격화…올해 재고 정상화 기대""",0,,,,
"SK하이닉스, 1분기 영업손실 3.4조 ‘어닝쇼크’",0,,,,
"SK하이닉스, 영업손실 3조4000억...2분기 연속 적자",0,,,,
"SK하이닉스 1분기 실적 오늘 나온다…""수조원 적자, 2분기도 우울""",0,,,,
메모리 한파'에 SK하이닉스 1분기 영업손실 3조4천23억원,0,,,,
"반도체 수요줄고, 가격도 하락…SK하이닉스 2분기 연속적자",0,,,,
사상 최악 성적표 SK하이닉스… 하반기 반등 노력 안간힘,0,,,,
1분기 ‘3조 적자’에도... SK하이닉스 주가 3%대 상승,2,,,,
"SK하이닉스, '역대 최악' 실적 발표에도 주가 증가",2,,,,
메모리 한파' SK하이닉스 1분기 3.4조 원 적자,0,,,,
SK하이닉스 1분기 적자 3조4000억… “2분기 바닥 찍을 것”,0,,,,
반도체 혹한 직격탄…SK하이닉스 1분기 3.4조 '사상 최대 적자',0,,,,
"사상 최대 적자 늪 빠진 SK하이닉스…“2분기 감산효과 본격화, 실적 반등”",0,,,,
SK하이닉스 세계 최초 D램 12층 쌓았다,2,,,,
"SK하이닉스, 1분기 3.4조 적자… “2분기 반등 기대”",0,,,,
SK하이닉스 영업적자 3.4조 ‘사상 최악’…“바닥 보인다” 긍정론도,0,,,,
"메모리 한파' 직격탄… SK하이닉스, 1분기 적자 3.4조 '역대 최악'",0,,,,
"삼성전자·SK하이닉스 중국 공장 반도체장비 반입…미국, 1년 추가 연장 검토",2,,,,
"SK하이닉스, 1분기 영업손실 3.4조…""반도체 한파에 역대 최대 적자""",0,,,,
SK하이닉스 최악의 3.4조 적자…팹리스 10개사 모두 매출 10%감소,0,,,,
5조원어치 팔았는데 3.4조 영업손실… 하이닉스 창사 이래 최대 적자,0,,,,
"SK하이닉스, 3.4조 적자 ...신용등급 하락 가능성은?",0,,,,
" SK하이닉스 ""D램 한 자릿수 중후반·낸드 10% 중후반 성장 예상""",2,,,,
" SK하이닉스, 실적 바닥인식에 투자자들 몰려 반등",2,,,,
"SK하이닉스, 2분기부터 주가 반등 가능할까...증권가 하반기 실적 개선 전망 잇따라",2,,,,
"3.4조 적자' SK하이닉스 ""메모리 안정될 때까지 감산…3분기 개선 기대""",1,,,,
"SK하이닉스, 1Q 최대 적자에도 2%대 상승",2,,,,
SK하이닉스 1분기 영업실적 -3조4000억 ‘사상 최악’,0,,,,
메모리 한파'에 SK하이닉스 1분기 영업손실 3조 4천억 원,0,,,,
"""화학물질 안전하게 관리하세요"" SK하이닉스 중국 企에 노하우 전수",1,,,,
"SK하이닉스 ""1분기 반도체 업황 역대 가장 심각""",0,,,,
 최악 실적 SK하이닉스 “재고 적정수준까지 보수적 생산”,0,,,,
"자동차  빼고 다 힘들다…SK하이닉스, 사상 최악 '적자'",0,,,,
" SK하이닉스, 실적 바닥인식에 투자자들 몰려 반등",2,,,,
"SK하이닉스, 1분기 영업손실 3조4023억원… 적자 전환",0,,,,
"D램 시장 ‘DDR5 레이스’ 시작됐다… 선공은 SK하이닉스, 삼성전자는 ‘반격’ 준비",2,,,,
" 승승장구하던 SK하이닉스, 최대 규모 적자에 '휘청'",0,,,,
"2분기 연속 적자' SK하이닉스 ""하반기 업황반등 기대""",0,,,,
"SK하이닉스 ""중국 반도체 장비반입 유예, 긍정적으로 기대""",2,,,,
"SK하이닉스, 1분기 사상 최대 적자 기록…3조4000억원 영업손실",0,,,,
"메모리 한파'…SK하이닉스, 1분기 영업손실 3조4천억",0,,,,
삼성·SK하이닉스 이어 인텔도 최악의 1분기… “반도체 불황 완화 조짐” 신호는 긍정적,0,,,,
"SK하이닉스 ""차입금 증가로 이자비용 전년비 2배증가""",0,,,,
"""삼성전자·SK하이닉스, 미국 중국 갈등에 주가 변동성 우려""",0,,,,
"올해 영업손실 10조…SK하이닉스 ""바닥 지나고 있다""",0,,,,
세계 첫 '12층 D램 타워'…하이닉스가 쌓아올렸다,2,,,,
" SK하이닉스 ""저점 통과···하반기부터 회복""",0,,,,
"""미국 , 마이크론 중국 판매 금지시 삼성·SK하이닉스 물량 대체 마라""",0,,,,
"SK하이닉스, D램 칩 12개 쌓았다…""AI 챗봇 수요 맞춰 하반기 공급""",2,,,,
"SK하이닉스 3.4조 적자 쇼크…""감산 효과로 2분기부터 회복""",0,,,,
"SK하이닉스 ""AI 서버용 메모리, 향후 5년 이끌 성장동력""",1,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발",2,,,,
"""지금이 바닥"" SK하이닉스, 하반기 개선 예고",0,,,,
" SK하이닉스, 1분기 영업손 3.4조원 기록",0,,,,
"SK하이닉스, 1분기 영업손실 3.4조원…SK그룹 편입 이후 사상 최대적자",0,,,,
SK하이닉스 “하반기 업황 개선 대비 철저준비”,1,,,,
"케이던스, `SK하이닉스` 모바일용 초고속 D램과의 상호운용성 검증",1,,,,
"""SK하이닉스 하반기 실적개선…2분기부터 주가상승 기대""",2,,,,
 SK하이닉스 1분기 영업손실 3조4천23억원…적자 전환,0,,,,
"미국 , 한미정상회담 앞두고 '중국  마이크론 규제 시 삼성·SK하이닉스 시장 공백 메우지 말 것' 요구",0,,,,
"""5조원 벌고도 적자""…SK하이닉스, 1분기 영업손실 3.4조원",0,,,,
"SK하이닉스 ""재고 적정수준 감소까지 보수적인 생산계획 유지""",0,,,,
"""감산 불구 1Q D램·낸드 재고, 전분기비교  증가"" -SK하이닉스 컨콜",0,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발…현존 최고 24GB",2,,,,
"""중국  마이크론 제재 공백, 삼성·SK하이닉스가 채우지 말라""",0,,,,
"SK하이닉스 2분기 연속 적자…현대차그룹, 도요타 넘었다",0,,,,
"메모리 불황 직격탄 하이닉스, 연속 적자",0,,,,
"1분기 3.4조 적자 SK하이닉스, 주가는 급반등…이유는?",2,,,,
"SK하이닉스, 사상 최대 적자에도 주가 오르는 이유는? ",2,,,,
큰손들 호실적 내며 ‘반도체 바닥론’ 확산… 삼성 하이닉스도 “재고 감소 중”,0,,,,
" SK하이닉스, 1분기 영업손실 3조4023억원…적자 전환",0,,,,
" 삼성전자·SK하이닉스, 미중 분쟁 우려에 주가 약세",0,,,,
"SK하이닉스 ""메모리반도체 시장 상황, 과거 어느 때보다 심각""",0,,,,
"미래에셋 ""삼성전자·SK하이닉스, 미중갈등에 변동성 커질 듯""",0,,,,
" SK하이닉스 ""하반기부터 시황 개선으로 수급 상황 개선 기대""",2,,,,
연평균 최대 45% 성장..삼성·하이닉스 ‘HBM 반도체’ 전운,2,,,,
"""중국 공장 첨단공정 전환 계획 없어…'장비수출 통제' 유예 전망"" -SK하이닉스 컨콜",0,,,,
" SK하이닉스 ""AI 서버 출하량 향후 5개년간 최대 40% 성장 전망""",2,,,,
서원대 'SK하이닉스 사회적기업가 챌린지 대회' 참여자 모집,1,,,,
메모리 불황'에 SK하이닉스 1분기 3조 4천억 적자,0,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발",2,,,,
" SK하이닉스 ""1분기 감산에도 D램·낸드 재고 증가""",0,,,,
" 삼성전자·SK하이닉스, 미중 분쟁 우려에 주가 약세",0,,,,
"""AI 서버 출하량, 5년간 40% 성장…올해 수주 끝났다"" -SK하이닉스 컨콜",2,,,,
반도체 한파 SK하이닉스 1분기 영업이익 3조4000억원 적자,0,,,,
" SK하이닉스 ""D램 한자릿수 중후반, 낸드 10%중후반 성장 예상""",1,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발",2,,,,
SK하이닉스가 HBM에 진심인 이유 1 ,1,,,,
"SK하이닉스, 1분기가 실적 저점…‘적극 매수’-대신",2,,,,
" SK하이닉스 ""중국  팹 운영 변화 없어…중국  수출 통제 유예도 긍정적""",2,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발",2,,,,
"SK하이닉스, 1분기 영업손실 3조4023억원…적자전환",0,,,,
"반도체 불황 언제까지… 삼성전자·SK하이닉스, 하반기에 사활",0,,,,
" SK하이닉스 ""내년 2분기 DDR5 대세 될 듯""",2,,,,
삼성전자 1분기 실적 주목…SK하이닉스 사상 최대 적자,0,,,,
" SK하이닉스 ""재고 수준 심각...안정화까지 보수적 생산 유지""",0,,,,
"SK하이닉스, 1분기 3.4조 영업손실…2분기 연속 적자",0,,,,
" SK하이닉스 ""내년 2분기 DDR4 대비 DDR5 크로스오버""",1,,,,
 SK하이닉스 “미국  제재에도 중국  공장 운영정책 변화 없다”,1,,,,
"SK하이닉스, 1Q 실적 바닥…주가 반등",2,,,,
"SK하이닉스, 세계 최초 '12단 적층' HBM3 개발…""하반기 공급""",2,,,,
"SK하이닉스 등 대기업들, 하청사와 안전문화 확산 '맞손'",1,,,,
"""2Q 메모리가격 급등 어려워..감산계획 유지"" -SK하이닉스 컨콜",0,,,,
"SK하이닉스, 영업손실 3.4조…""바닥 찍고 2분기 개선""",0,,,,
"SK하이닉스, 또 세계 최초…12단 HBM3 24GB 개발",2,,,,
"세계최초 12단 HBM3…SK하이닉스, '꿈의 D램' 개발",2,,,,
"SK하이닉스, 단기 실적 부진보다 전반적 추가 감산에 주목-유안타",0,,,,
반도체 한파'에 SK하이닉스 1분기 3.4조 적자… 삼성전자는,0,,,,
" SK하이닉스 ""삼성 감산 발표 이후, 고객사 공급 안정성 문의 늘어""",1,,,,
"D램 12개 쌓았다'…SK하이닉스, 최고용량 D램 개발",2,,,,
" SK하이닉스 ""올해 HBM 매출 50% 늘 것""",1,,,,
"""삼성보다 빨랐다""…SK하이닉스, HBM 초격차 지속 ",2,,,,
"SK하이닉스, 세계 최초 D램 12단 쌓은 'HBM3' 개발",2,,,,
" SK하이닉스 ""삼성 감산 발표 이후 고객사 문의 늘어나""",1,,,,
"SK하이닉스, 사상 최대 적자 '쇼크'…깊어지는 반도체 불황",0,,,,
"SK하이닉스, 세계 최초 12단 HBM3 개발…AI 반도체 시장 노린다",2,,,,
 SK하이닉스 “AI 기반 서버 메모리 출하량 5년간 40% 성장”,2,,,,
"SK하이닉스, 3.4조 적자에도 장중 4% 급등…“하반기 업황 개선 만반의 준비” ",2,,,,
 SK하이닉스 “상반기에 재고치 피크 찍는다…하반기에 축소”,0,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발…“AI에 활용”",2,,,,
"SK하이닉스, AI 서버 성장세에 HBM 시장 점유율 53% 전망",1,,,,
"미국, ""중국 , 마이크론 제재시 삼성, 하이닉스 반도체 부족분 메우지 말라""",0,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발…""하반기 시장 공급""",2,,,,
"SK하이닉스, 3Q부터 재고 하락 본격…주가 우상향 전망-SK",2,,,,
 미·중 대립에 반도체주 변동성 확대... 삼성전자·SK하이닉스 '주목',1,,,,
" SK하이닉스 ""상반기 재고량 고점 이후 점진적 축소""",2,,,,
"SK하이닉스·LGD, 수조원대 줄적자... 경기불황에 IT수요 감소·반도체 부진",0,,,,
" SK하이닉스 ""서버 DDR5 공급량, 내년 2분기 DDR4 넘어설 것""",1,,,,
반도체 빙하기'에 움츠린 삼성전자·SK하이닉스… 하반기 반등 기대증가,0,,,,
"SK하이닉스, 세계최초 '12단 적층' HBM3 개발..""하반기 공급""",2,,,,
하나증권 “SK하이닉스에 대한 실적 하향 조정 종료… 비중 확대 시기”,1,,,,
" SK하이닉스, 3조 영업손실에도 주가 오름세",2,,,,
"세계최초 12단 HBM3 개발…SK하이닉스, 'AI 메모리' 리더십 강화",2,,,,
"SK하이닉스, 세계 최초 12단 HBM3 개발...""하반기 양산""",2,,,,
 SK하이닉스 “2분기도 메모리 가격 상승 기대하기 어렵다”,0,,,,
 SK하이닉스 1분기 매출액 5조881억원…전년비교  58.1%감소,0,,,,
반도체 한파' SK하이닉스 최악 적자…바닥론 불구 미·중 갈등 부담,0,,,,
"""삼성전자·SK하이닉스, 미중 갈등에 변동성 커질 수 있어""",1,,,,
"SK하이닉스, 현존 최고용량 12단 HBM3 세계 첫 개발",2,,,,
"삼성전자·SK하이닉스 적자 얼마나?…각각 27, 26일 1분기 실적 발표",0,,,,
"SK하이닉스, 세계 최초 12단 적층 HBM3 개발",2,,,,
"피치, SK하이닉스 ‘BBB’ 등급 부여…“D램 수급 불균형 완화”",1,,,,
충북 광공업 생산 '뚝'-재고는 '쑥'…SK하이닉스 적자 영향,1,,,,
"‘12개 쌓아올린 D램’ SK하이닉스, 세계 첫 개발",2,,,,
AI發 '첨단 메모리' 주도권 경쟁 시작됐다…치고 나가는 SK하이닉스,2,,,,
"SK하이닉스, 세계 최초 ‘12단 적층’ HBM3 개발",2,,,,
"SK하이닉스, 3조원 적자에도 주가는 강세…""반도체 바닥 확인""",2,,,,
" SK하이닉스, 1분기 영업손실 3조4023억원… 적자전환",0,,,,
"“최첨단 D램 시장 잡는다”...SK하이닉스, 세계 최초 12단 적층 HBM3 개발",2,,,,
"SK하이닉스, 세계 최초 12단 적층 ‘HBM3’ 개발",2,,,,
"SK하이닉스 ""D램, 낸드 출하량 각각 20%, 10%중반 정도 감소""",0,,,,
" SK하이닉스 ""감산영향 2분기부터 본격화...연중 재고 정상화 이뤄질 것""",2,,,,
"삼성전자·SK하이닉스, ""감산 규모 더 늘릴까"" 주목",1,,,,
